Study_ID,DOI,Journal,Publication_Year,Study_Design,First_Author_Affiliation_Country,Study_Data_Geography,Population,Cases_N,Controls_N,Total_N,Comparator,Clinical_Task,Cancer,Reference_Standard,Data_Family,Omics_Layer,Specimen,Platform,Raw_Features,Final_Features,SVM_Role,SVM_Kernel,SVM_Hyperparameters,Feature_Selection,Feature_Selection_Timing,Other_Models,Training_N,Internal_Validation_N,External_Validation_N,Validation_Method,Validation_Category,Split_Independence,Reported_Key_SVM_Performance,Best_Model,SVM_vs_Others,Calibration,Decision_Curve_or_Utility,Leakage_Overfitting_Concerns,Demographics_or_Fairness,Clinical_Comparator,Deployment_Status,Data_or_Code_Availability,Study_Notes,Evidence_Locations
S055,10.1002/pmic.200900513,Proteomics,2010,Multicenter diagnostic case-control serum-peptidomics study,China,China,147 newly diagnosed acute-leukemia patients and 107 healthy controls recruited from five hospitals; additional remission samples for secondary MRD analysis,147,107,254,Healthy controls,Cancer detection with secondary minimal-residual-disease analysis,Acute leukemia,French-American-British classification and clinical diagnosis before chemotherapy,Molecular omics,Proteomics,Serum,Copper-chelated magnetic-bead fractionation and MALDI-TOF-MS,452,26 peptide peaks at p<0.00001,Primary final classifier,Gaussian,Grid-search optimization,Two-tailed t-test p-value filtering at several thresholds,Feature selection performed on the training set,No alternative final classifier,152,102,0,Random 60/40 same-cohort split; five-fold CV within training; held-out validation set,Internal only,Random split across participants recruited from five hospitals; not an institution-held-out external validation,Held-out validation: AUC=0.998 (95% CI 0.994-1.002); sensitivity=0.97; specificity=1.00,26-feature Gaussian-kernel SVM,SVM was not directly compared,No,No,Very high internal performance; feature-threshold comparison and kernel tuning; no hospital-level external validation,Age/sex sampling considered; no subgroup performance or fairness analysis,"PCR and flow cytometry discussed for MRD, not directly compared for diagnosis",Internal validation only,Supporting information available; raw spectra/code NR,"Although the paper calls samples independent, they arose from a random split of the recruited cohort. Additional remission samples are a separate secondary analysis.",Methods PDF pp.2-4; Results PDF pp.4-6; Figure 2; Table 1
S056,10.1111/jcmm.17693,Journal of Cellular and Molecular Medicine,2023,Integrative public-data biomarker discovery with machine-learning diagnostic and prognostic models,Iran,Public TCGA and GEO datasets,TCGA diagnostic methylation data: 443 tumors and 27 non-tumors; external GSE30601: 203 tumors and 94 matched nonmalignant samples,646,121,767,Non-tumor gastric tissue,Diagnostic and prognostic,Stomach adenocarcinoma,Public TCGA/GEO dataset labels,Molecular omics,Epigenomics,Gastric tumor and non-tumor tissue,Illumina HumanMethylation27/450K arrays; RNA-seq used for integrative candidate discovery,Genome-wide methylation and 2821 differentially expressed genes; 28 diagnostic candidate probes,Eight methylation probes,Primary final classifier,RBF,gamma=8.5; C=8.365 selected by RandomizedSearchCV,Differential methylation/expression integration; correlation filtering; RFECV,"Candidate selection and RFECV on TCGA; external GEO data separate, but SMOTETomek appears applied before training CV",Logistic regression; Random Forest; GaussianNB; gradient boosting; AdaBoost; decision tree,470,NA,297,10-fold CV on TCGA and 10-fold CV on independent GSE30601,Internal and external,"External dataset is independent, but evaluation used cross-validation within the external data rather than clearly applying one locked TCGA-trained model",External GSE30601: AUC=0.97; F1=0.93; precision=0.94; specificity=0.86; sensitivity=0.93; accuracy=0.91,Eight-probe SVM had the best AUC among compared algorithms,SVM performed best,No,No,Extreme class imbalance; SMOTETomek may have preceded CV; external evaluation used CV rather than an explicitly locked model; integrative selection uses full TCGA data,No demographic subgroup/fairness analysis,No clinical diagnostic comparator,Independent public-dataset validation only,TCGA and GEO data public; scripts/code NR,"The discovery workflow integrates expression and methylation, but the final SVM input contains only methylation probes; classify the prediction model as single-omics epigenomics, not multi-omics. Analyze prognosis separately.",Methods PDF pp.2-5; Results PDF pp.6-8; Table 2; Figures 4-5
S057,10.1186/1471-2164-16-S9-S4,BMC Genomics,2015,Case-control multi-marker discovery study with public-dataset evaluation,South Korea,South Korea; independent public GEO datasets,104 PDAC tissues and 17 benign/normal pancreatic tissues,104,17,121,Benign/normal pancreatic tissue,Cancer detection,Pancreatic ductal adenocarcinoma,Surgical/pathologic tissue status; details of blinding NR,Molecular omics,Multi-omics,Pancreatic tissue and public expression datasets,Affymetrix HuGene 1.0 ST mRNA and GeneChip miRNA 3.0 arrays,"33,297 mRNA probes and 5,617 human miRNA probes",705 miRNA-target-gene marker pairs; 27 miRNAs and 289 genes,Primary classifier for each candidate marker/pair,LIBSVM; kernel NR,Class weights cancer=1 and normal=6.117647; remaining parameters NR,"Differential expression, weighted SVM/LOOCV, target-prediction networks, negative correlation and external-dataset thresholds",Discovery cohort used for extensive screening; independent datasets also used to retain robust markers,Linear regression for miRNA activity; target-prediction algorithms,121,NA,NR,LOOCV discovery plus independent GEO SVM-LOOCV evaluation,Internal and external,"GEO datasets were independent, but their results contributed to final marker selection","No single prespecified final model; representative miR-148a AUC=0.956 and BA=0.927 in discovery, external BA up to 0.897",Hundreds of selected marker pairs rather than one locked model,SVM was not directly compared,No,No,Extensive multiple testing; external datasets used in feature retention; no single locked classifier; several reported AUC values appear inconsistent and require cautious use,Demographics and subgroup fairness NR,No clinical biomarker comparator,Retrospective marker discovery,GEO accessions provided; code NR,mRNA plus miRNA integration may be considered two transcriptomic layers rather than distinct omics; state the operational definition explicitly.,Abstract; Methods pp.6-8; Tables 1-2; Figure 1
S058,10.1371/journal.pone.0063941,PLoS ONE,2013,Proteomics-guided public-transcriptomic diagnostic model study,China,China; public GEO datasets,GSE6099 n=74; GSE6956 n=89; GSE21034 n=179,276,66,342,Non-tumor prostate tissue,Cancer detection,Prostate cancer,Public microarray diagnostic labels,Molecular omics,Transcriptomics,Prostate tissue,2D-DIGE/MS discovery and Affymetrix gene-expression microarrays for final SVM,60 differential proteins; network-derived 3/13 hub genes,PTEN; SFPQ; HDAC1,Primary final classifier,RBF,Dataset-specific tuning; exact values NR,Proteomic differential analysis and protein-interaction network hub selection,Three-gene panel established before repeated train-test evaluation,Alternative 13-gene SVM panel; no different classifier,Varied by repeated random split,Varied by repeated random split,0,100 random train-test splits and 5-fold CV in each dataset,Internal only,Each dataset was repeatedly split internally; no locked cross-dataset transfer test,Test AUC/accuracy: GSE6099 0.90/0.8907; GSE6956 0.89/0.8588; GSE21034 0.93/0.9271,Three-hub-gene SVM slightly outperformed 13-hub panel,SVM was not directly compared,No,No,Threshold selected to maximize AUC; repeated internal splits; no external validation,Public-dataset demographics/fairness NR,No PSA/clinical-score head-to-head comparison,Retrospective model development,GEO data public; code NR,"Although proteomics initiated discovery, final SVM inputs are gene-expression values; classify the final predictive model as transcriptomics.",Methods pp.3-5; Results pp.5-7; Tables 2-4
S059,10.1007/s00216-013-7163-z,Analytical and Bioanalytical Chemistry,2013,Single-center case-control spectroscopy model study,United Kingdom,United Kingdom,50 GBM patients and 25 healthy controls; 74 usable for FTIR,50,25,75,Healthy controls,Cancer detection,Glioblastoma multiforme,Clinical/histopathologic diagnosis; details of blinding NR,Spectroscopy-derived data,Not conventional omics,Serum,ATR-FTIR and Bio-Plex cytokine/angiogenesis panel,Infrared spectra; nine spectra per participant,Whole-serum or 10-kDa-fraction spectral region used by RBF SVM,Primary final classifier,RBF,Whole serum C=1024 gamma=8; 10-kDa fraction C=16384 gamma=16,Spectral preprocessing and model-specific parameter grid search,Training data used for tuning; blinded patient set held out,"Cytokine-factor analysis, not a directly comparable final classifier",50,24,0,LOOCV/grid search in training plus blinded same-center test,Internal only,"Patient-level split reported, but multiple spectra per patient and small test set",Whole-serum patient test sensitivity=0.875; specificity=1.000,Whole-serum RBF SVM outperformed 10-kDa fraction,SVM was not directly compared,No,No,Training CV near 1.00 versus lower test performance; multiple spectra; small same-center sample,No demographic subgroup performance,No direct comparison with imaging or histopathology,Internal blind-test validation only,Raw spectra/code NR,Do not describe this spectroscopy model as molecular omics or as externally validated.,Methods pp.2-5; Results pp.5-7; tables/figures on SVM testing
S061,10.1016/j.ebiom.2023.104553,eBioMedicine,2023,Prospective multicenter observational diagnostic study with MRD cohort,China,China,Discovery 145 NSCLC plus 163 controls; validation 143 NSCLC plus 163 controls; separate postoperative MRD cohort n=58,288,326,614,Healthy individuals and benign pulmonary nodules,Multiple tasks,Non-small cell lung cancer,Clinical/pathologic diagnosis and longitudinal follow-up,Molecular omics,Multi-omics,Plasma cfDNA,"Low-pass WGS/cSMART-based fragmentomics, end-motif, bin-count/CNV and co-methylation assays",Multiple cfDNA genomic/epigenomic feature classes,Four component scores integrated as LC score,Component of ensemble/hybrid model,Kernel/C/gamma selected by 10-fold CV; exact final values NR,"C, kernel type and gamma tuned",Feature-specific model development followed by integrated score,Development cohort used for component training; final cutoff/integration involved validation information,AdaBoost; Gaussian process; kNN; Random Forest; XGBoost; logistic regression,308,NA,306,10-fold CV plus prospectively enrolled multicenter validation,Internal and external,"Validation cohort was independent and multicenter, but threshold/model integration was not fully locked before validation",SVM component AUCs: Bincount 0.759; motif 0.815; protein marker 0.700. Hybrid LC score AUC=0.912,Integrated LC score: AUC=0.912; sensitivity=0.518; specificity=0.963,Hybrid integrated model performed best,NR,Harm-benefit/clinical-utility analysis and population-adjusted NPV 0.9992,Validation informed cutoff/integration; final score is not a pure SVM; multiple component-model comparisons,Sex and clinical subgroups assessed; Chinese population only,"Mayo, PKU and VA nodule models; protein biomarkers",Prospective multicenter validation,Supplementary data available; code/model availability NR,Separate early detection from postoperative MRD. Do not attribute the integrated AUC 0.912 solely to SVM.,Abstract; Methods pp.4-8; Results pp.9-14; Figure 3
S062,10.1002/ijc.33564,International Journal of Cancer,2021,Large multicenter case-control diagnostic study,China,China,"After propensity matching, 670 AFP-negative HCC and 670 non-HCC controls; training n=964 and independent validation n=376",670,670,1340,"Healthy controls, chronic hepatitis B, fibrosis and cirrhosis",Differential diagnosis,AFP-negative hepatocellular carcinoma,Histopathology/clinical diagnosis according to study criteria,Molecular omics,Glycomics,Serum,Capillary-electrophoresis N-glycan fingerprinting,Serum N-glycan profile,13 N-glycan structures selected by LASSO,One of several final classifiers,NR,NR,LASSO selection of 13 glycans,Training cohort,Logistic regression; Random Forest,964,NA,0,5-fold CV for SVM; independent cohort used only for logistic model,Internal only,Independent validation cohort existed but did not evaluate SVM,AUC=0.610; sensitivity=0.9608; specificity=0.2889 in training CV,Logistic regression: training AUC=0.842; independent validation AUC=0.860,Alternative model performed better,NR,NR,SVM not externally validated; model comparison/selection in training cohort,Large Chinese multicenter cohort; no demographic subgroup fairness results,AFP-negative status and clinical liver-disease groups,External validation of logistic model only,Supplementary information; code/raw data NR,Correct prior multi-omics label to single-omics glycomics. Report that SVM was substantially inferior to LR/RF.,Abstract; Methods pp.3-5; Results pp.6-8; Figure 3; performance table
S063,NR,Cancer Genomics & Proteomics,2012,Commercial-biobank case-control biomarker study,United States,United States,"Initial 828 records; complete model dataset 359 NSCLC, 177 asthma and 251 healthy controls",359,428,787,Asthma and healthy controls,Multiple tasks,Non-small cell lung cancer,Biobank diagnostic labels; pathology details NR,Molecular omics,Proteomics,Plasma,Multiplex immunoassay panels with mass-spectrometry discovery support,57 protein/peptide markers plus sex,All-marker panel and reduced sex-specific panels,Primary final classifier,RBF through R kernlab ksvm,NR,Forward sequential feature selection,Training/test split used; exact nesting of selection within training is incompletely described,No directly comparable final classifier,398,389,0,Random held-out test set,Internal only,Same commercial source; patient-level split,Three-class accuracy=0.94; NSCLC versus normal sensitivity=0.99 and specificity=0.95,All-marker plus sex SVM; reduced sex-specific panels reached perfect sensitivity,SVM was not directly compared,No,No,"Selected case-control spectrum, missing-data exclusions, reduced panels and perfect subgroup performance without external validation","Sex-specific models were evaluated, but race distributions differed markedly among disease groups and may confound results",No standard clinical test comparison,Internal validation only,Raw data/code NR,Fairness discussion should mention that sex-specific analysis does not resolve race/ancestry imbalance and may amplify overfitting.,Methods pp.2-4; Results pp.4-6; Tables III-IV
S064,10.14309/ctg.0000000000000003,Clinical and Translational Gastroenterology,2019,Eight-center case-control plasma-miRNA diagnostic study,Spain,Spain,"300 enrolled, 297 initially analyzed: 100 healthy, 101 advanced adenoma, 96 CRC; 221 retained for modeling after exclusions",197,100,297,Healthy controls,Early detection or screening,Colorectal cancer and advanced adenoma,Colonoscopy and histopathology,Molecular omics,Transcriptomics,Plasma,RT-qPCR of six miRNAs,6,miR-19a; miR-19b; miR-15b; miR-29a; miR-335; miR-18a,Primary final classifier,"Linear, radial and polynomial evaluated; radial selected",Radial model cost=0.50 and sigma=0.44 for primary CV model,"Multiple normalization, preprocessing and SVM-configuration combinations",Missing/outlier removal and preprocessing appear to precede repeated CV,Multiple SVM kernels/configurations; no alternative classifier,221,NA,0,Repeated 5-fold CV 10 times,Internal only,No external cohort; all model development and assessment in retained cohort,Cross-validated advanced-neoplasm AUC=0.79 (0.723-0.841),"Apparent full-data advanced-neoplasm AUC=0.92, but CV AUC=0.79 is the appropriate primary estimate",SVM was not directly compared,Brier score=0.116; no full calibration plot/slope,No decision-curve analysis,"29 missing-value and 47 outlier exclusions; 1,925 models; preprocessing likely outside CV; large gap between apparent and CV AUC",Age and cancer-stage subgroups described; no demographic fairness analysis,Colonoscopy as reference; no head-to-head screening comparator,Internal cross-validation only,Data/code NR,Use AUC 0.79 for semi-quantitative synthesis; apparent AUC 0.92-0.95 should be labeled training/apparent.,Methods pp.3-5; Results pp.5-7; Figures 2-3; Tables 2-3
S065,10.3389/fonc.2021.752651,Frontiers in Oncology,2021,Prospective single-center biomarker discovery with separate validation cohort,China,China,144 breast-cancer patients and 115 controls; training n=182 and validation n=77,144,115,259,Healthy and benign breast-disease controls,Cancer detection,Breast cancer,Clinical/pathologic diagnosis,Molecular omics,Transcriptomics,Plasma extracellular vesicles,RNA sequencing discovery and RT-qPCR verification,439 differentially expressed circRNAs; 20 upregulated candidates,Nine-circRNA BCExoC classifier,One of several final classifiers,Linear,NR,"RNA-seq differential analysis, qPCR screening and model comparison",Panel and model selected in training cohort; separate validation cohort used afterward,Logistic regression; linear discriminant analysis,182,NA,77,LOOCV training plus separate same-center validation,Internal and external,"Distinct samples and time/cohort, but same institution",Training LOOCV AUC=0.83; validation AUC=0.80,Nine-circRNA SVM had the largest training AUC among compared models,SVM performed best,No,No,Single-center case-control spectrum and model selection among candidate panels,No subgroup performance by age/sex/ethnicity,No standard biomarker head-to-head comparator,Separate same-center validation only,Sequencing/supplementary data reported; code NR,Country in S1 was incorrect; the study was conducted in China.,Abstract; Methods pp.3-5; Results pp.5-7; Figure 4
S067,10.1186/1471-2407-9-104,BMC Cancer,2009,Single-center case-control urinary metabolomics study,Germany,Germany,85 breast-cancer patients and 85 healthy female controls,85,85,170,Healthy controls,Cancer detection,Breast cancer,Clinical breast-cancer diagnosis; samples collected preoperatively,Molecular omics,Metabolomics,Spot urine,LC-ESI ion-trap mass spectrometry after boronate-affinity chromatography,"51 metabolites encoded into 1,190 pairwise ratios",44 metabolite-pair features,Primary classifier and black-box wrapper for OSAF feature selection,LibSVM; kernel NR,Grid search during each feature-set evaluation; exact values NR,OSAF followed by sequential backward selection,Feature selection and validation estimates were obtained on the same full cohort,Linear discriminant analysis; mutual-information analysis,NA,NA,0,10-fold CV and LOOCV,Internal only,Same 170 samples used for model/feature optimization and validation,"10-fold sensitivity=0.835, specificity=0.906, MCC=0.743; LOO sensitivity=0.835, specificity=0.859",44-pair OSAF/SBS SVM,SVM was not directly compared on a locked test set,No,No,"1,190 candidate encodings and wrapper selection on same cohort; no independent validation",All participants women; age/tumor stage reported; no fairness analysis,No CA15-3/CEA head-to-head diagnostic comparison,Internal validation only,Supplementary feature files available; wrapper code NR,"Despite wording that LOO is nearly unbiased, it is not unbiased if the full feature-selection search is not nested.",Methods pp.3-5; Results pp.6-7; Tables 2-3
S068,10.1002/jrs.2421,Journal of Raman Spectroscopy,2010,Single-center tissue spectroscopy diagnostic study,China,China,90 patients: 58 SCC and 32 oral leukoplakia; normal mucosa from surgical margins of 28 SCC patients; 186 spectra from 92 sections,58,32,90,Oral leukoplakia and normal oral mucosa,Multiple tasks,Oral squamous cell carcinoma,Experienced-pathologist histology according to WHO classification,Spectroscopy-derived data,Not conventional omics,FFPE oral tissue,Nicolet Nexus 670 FT-NIR Raman spectroscopy,937,Whole Raman spectrum after wavelet smoothing,Primary final classifier,Gaussian RBF,"C=3; kernel width sigma=1, 2 or 4 by task",No PCA; whole spectrum used after smoothing,"Training spectra used for LOOCV; blind calibration set held out, but patient-level separation unclear",No alternative classifier,120,66,0,LOOCV in training spectra plus blind calibration spectra,Internal only,Spectrum/section level; unclear whether spectra from the same patient crossed sets; normal margins were from SCC patients,Blind calibration accuracy: SCC-normal 0.9524; SCC-OLK 0.9318; OLK-normal 0.7391,SCC versus normal RBF SVM,SVM was not directly compared,No,No,"Spectrum-level unit, possible within-patient dependence, small sample and no external validation",Age/sex/site distributions reported; no subgroup performance,Histopathology reference only,Internal blind-calibration study,Raw spectra/code NR,"Classify as Raman spectroscopy, not proteomics. Use blind calibration rather than training-set metrics in synthesis.","Methods pp.2-3; Tables 1, 3 and 4; Results pp.3-4"
S069,10.3233/CBM-190694,Cancer Biomarkers,2020,Secondary analysis of public case-control transcriptomic data with small qRT-PCR confirmation,China,Public TCGA dataset; qRT-PCR cohort China,500 HNSCC and 44 adjacent normal TCGA tissues; six paired tissues for qRT-PCR,500,44,544,Adjacent normal tissue,Diagnostic and prognostic,Head and neck squamous cell carcinoma,TCGA labels; pathology details/blinding NR,Molecular omics,Transcriptomics,Tumor and adjacent-normal tissue,TCGA RNA-seq; qRT-PCR,"3,363 DEmRNAs and multiple DElncRNAs",13 lncRNAs,One of several final classifiers,NR,NR,Differential expression; random-forest importance; forward-wrapper SVM panel growth,Feature discovery and panel selection appear to use the complete TCGA cohort,Random forest; decision tree,NA,NA,0,10-fold cross-validation on same cohort; qRT-PCR expression confirmation,Internal only,No independent classifier cohort; qRT-PCR did not assess predictions,AUC=0.983; sensitivity=0.962; specificity=0.955,SVM and random forest both AUC=0.983,SVM was comparable,No,No,Full-cohort differential expression/feature ranking and same-data ROC; no nested or external model validation,TCGA demographics not analyzed; no fairness subgroups,No clinical comparator,Retrospective model development,TCGA public; code NR,Diagnostic portion only. Do not treat qRT-PCR as external classifier validation.,Abstract; Methods sections 2.1-2.7; Results sections 3.3-3.6; Figure 4
S070,10.1002/mgg3.1512,Molecular Genetics & Genomic Medicine,2020,Secondary analysis of public case-control transcriptomic data with expression validation,China,Public TCGA/GEO datasets; qRT-PCR cohort China,375 STAD and 32 adjacent normal TCGA tissues; GSE27342 80/80; six paired qRT-PCR tissues,375,32,407,Adjacent normal tissue,Diagnostic and prognostic,Stomach adenocarcinoma,TCGA/GEO labels; pathology details/blinding NR,Molecular omics,Transcriptomics,Gastric tumor and adjacent-normal tissue,TCGA RNA-seq; GEO microarray; qRT-PCR,814 DEmRNAs and 106 DElncRNAs,3 lncRNAs,One of several final classifiers,NR,NR,LASSO; elastic net; random-forest importance; forward-wrapper SVM,Feature discovery and classifier performance used the same TCGA cohort,Random forest; decision tree,NA,NA,0,10-fold cross-validation on TCGA; GEO/qRT-PCR expression confirmation,Internal only,Independent data did not evaluate classifier performance,AUC=0.983; sensitivity=0.971; specificity=0.969,SVM AUC=0.983; random forest AUC=0.981,SVM performed best,No,No,High-dimensional feature selection on full cohort; no independent model validation,Demographics/fairness NR,No clinical comparator,Retrospective model development,TCGA/GEO public; code NR,"Use only diagnostic results; external sources validate expression, not the SVM.",Abstract; Methods sections 2.1-2.8; Results sections 3.2-3.6; Figure 3
S071,10.3389/fgene.2020.572284,Frontiers in Genetics,2020,Transcriptomic meta-analysis and multi-dataset classifier study,United States,Public international datasets,995 unique profiles across 18 unique datasets after removing one duplicated dataset entry,,,995,Normal pancreas; chronic pancreatitis; PDAC precursors,Multiple tasks,Pancreatic ductal adenocarcinoma and precursor lesions,Public-dataset diagnostic labels; blinding NR,Molecular omics,Transcriptomics,Tissue; peripheral blood; platelets,Multiple microarray platforms and RNA-seq,Meta-analysis candidates across 19 listed datasets,9 genes,Primary final classifier,Polynomial,Cost/gamma optimized by 10-fold CV; exact values NR,"Meta-analysis, concordant differential expression and secretory-protein filtering","Five training datasets used to derive panel; independent datasets then evaluated, commonly with within-dataset LOOCV",Random forest,145,NA,850,Training-set LOOCV and evaluation/LOOCV across independent public datasets,Internal and external,"Datasets are independent, but SVM appears refit/evaluated within each dataset; E-GEOD-62452 appears twice",Dataset AUCs 0.80-1.00; median near 0.95 across Table 2,Nine-gene SVM outperformed random forest,SVM performed best,No,No,Potential optimism from repeated panel selection and within-dataset refitting; duplicate dataset counting; no prospectively recruited cohort,Heterogeneous platforms and specimens; demographic subgroup performance NR,"Compared descriptively with CA19-9 and published biomarkers, not head-to-head",Retrospective public-dataset validation,Accession numbers public; code NR,"The authors label four sets prospective validation, but these are existing public datasets.",Methods pp.3-5; Tables 1A-1B and 2; Figures 2-5
S072,10.1016/j.bbagen.2023.130438,Biochimica et Biophysica Acta - General Subjects,2023,Prospective case-control spectroscopy study,Turkey,Turkey,85 primary myelofibrosis patients and 45 healthy controls,85,45,130,Healthy controls,Cancer detection,Primary myelofibrosis,2016 WHO classification of PM,Spectroscopy-derived data,Not conventional omics,Dried blood serum,FTIR spectroscopy; PCA; GS-SVM,FTIR spectra,"FTIR fingerprint, protein and lipid regions",Primary final classifier,NR,Optimized by grid search,PCA; spectral range selection,Unclear,PCA,NR,NR,NA,Grid-search SVM; validation details unclear in available text,Internal only,Unclear; no external cohort reported,Accuracy=0.923-1.00 depending on FTIR range,GS-SVM; accuracy range 0.923-1.00,SVM performed best,NR,NR,Validation procedure unclear; risk of overfitting from spectral-range/model selection,NR,WHO diagnostic criteria described; not directly benchmarked,Prospective validation claimed but not clinical deployment,NR,Spectroscopy-derived subgroup.,Text abstract; Study population section
S073,NR,Zhonghua Zhong Liu Za Zhi,2007,Case-control diagnostic model development,China,China,36 ESCC cases and 38 healthy controls in a high-incidence area,36,38,74,Healthy controls,Early detection or screening,Esophageal squamous cell carcinoma,NR in abstract,Molecular omics,Proteomics,Serum,SELDI-TOF-MS; CM10 ProteinChip,31 differential protein peaks,4 protein peaks,Primary final classifier,NR,NR,Protein peak selection,Unclear,None reported,NR,NA,NA,Leave-one-out cross-validation,Internal only,LOOCV; no external cohort,Accuracy=0.851; sensitivity=0.861; specificity=0.842; PPV=0.838 [LOOCV],SVM model with 4 protein peaks,SVM was not directly compared,NR,NR,Small sample; feature selection timing unclear; LOOCV only,NR,NR,Retrospective model development only,NR,Abstract-only but SVM metrics are extractable.,Abstract only
S074,10.2217/bmm-2018-0273,Biomarkers in Medicine,2019,Secondary analysis of two public paired-tissue microarray datasets,China,Public GEO datasets,GSE15471: 39 paired PDAC/normal; GSE28735: 45 paired PDAC/normal,84,84,168,Adjacent normal pancreatic tissue,Cancer detection,Pancreatic ductal adenocarcinoma,Public GEO labels,Molecular omics,Transcriptomics,Pancreatic tumor and adjacent-normal tissue,GEO microarrays,730 pancreatic-cancer-specific genes,7 genes,Primary classifier and SVM-RFE feature selector,Linear,Optimized by 5-fold CV; exact parameters NR,SVM-RFE and LDM-RFE rankings combined; permutation/resampling repeated 60 times,Training data used in repeated feature-ranking; external assessment details not fully specified,LDM; back-propagation neural network,78,NA,90,5-fold CV/repeated resampling in GSE15471; GSE28735 assessment,Internal and external,GSE28735 independent; locked transfer versus retraining unclear,External accuracy approximately 0.80; exact SVM-specific value NR,Combined-ranking seven-gene models performed best,Insufficient information,No,No,"Small paired datasets, extensive repeated feature search and approximate external reporting",Demographics/fairness NR,No clinical comparator,Retrospective public-dataset validation,GEO public; code NR,Use external performance cautiously; exact SVM-specific result is not tabulated.,Methods pp.4-8; Evaluation section; Results/Figures 3-5
S075,10.3390/molecules27185904,Molecules,2022,Single-center case-control biomarker-development study,Thailand,Thailand,"Model cohort: 26 CCA, 17 disease controls, 20 healthy; discovery pools involved 27 participants",26,37,63,Disease controls and healthy controls,Cancer detection,Cholangiocarcinoma,Clinical/pathologic diagnosis; blinding NR,Molecular omics,Proteomics,Plasma,LC-MS/MS discovery; ELISA final biomarker measurements,Discovery proteome candidates,7 proteins,One of several final classifiers,Linear and radial SVM tested,Tuned within caret 10-fold CV; exact values NR,Proteomics candidate selection and panel construction,Discovery preceded model cohort; 70/30 split and model selection within same study,Bayesian GLM; GLM; KNN; naive Bayes; neural network; PLS; random forest,45,18,0,10-fold CV on training plus held-out same-cohort test,Internal only,Patient-level split; no independent center/cohort,Linear SVM All-7 AUC=0.961 (95% CI 0.885-1.000),Linear SVM was best for All-7; PLS best for Sig-4,SVM performed best for All-7,No,No,Small test set and selection among multiple panels/models; discovery-pool overlap unclear,Demographic subgroup performance NR,No established clinical biomarker head-to-head,Internal validation only,Data availability stated; code NR,Requires full-sized prospective validation as authors acknowledge.,Abstract; Methods sections 2.1-2.8; Results tables/ROC figures
S077,10.1002/ijc.33675,International Journal of Cancer,2021,Single-center prospective recruitment with retrospective model analysis,China,China,283 analyzable patients: 183 lung cancer and 100 benign pulmonary lesions,183,100,283,Benign pulmonary lesions,Cancer detection,Lung cancer,Pathologic/clinical diagnosis,Mixed data,Transcriptomics,Bronchial brush specimens,RNA-seq plus chest CT and clinical data,90 cancer-associated genes plus CT/clinical variables,Selected gene panel plus CT/clinical variables,Primary final classifier,Sigmoid,Tuned with 10-fold CV; exact values NR,Wilcoxon filtering and SVM-RFE,Feature selection/tuning and evaluation were within the same cohort,CT-only model,NA,NA,0,10-fold cross-validation,Internal only,Patient-level cohort; no independent external data,"Advanced SVM AUC=0.903, sensitivity=0.900, specificity=0.732, PPV=0.851, NPV=0.811",Advanced combined SVM slightly exceeded gene-only SVM,SVM performed best among reported integrated variants,No,No,Same-cohort feature selection and CV; no nested or external validation; 45 participants excluded,"Subgroup results for smoking, stage and lesion features; no formal fairness analysis",CT-only comparator,Internal validation only,Data/code availability NR,"Mixed transcriptomics plus imaging/clinical data, not multi-omics.",Methods participant/model sections; Results/Table 2; subgroup figures
S078,10.1159/000487571,Cellular Physiology and Biochemistry,2018,Single-center case-control cfDNA diagnostic study,China,China,32 CRC and 38 healthy controls,32,38,70,Healthy controls,Cancer detection,Colorectal cancer,Pathologically confirmed CRC; healthy controls,Molecular omics,Genomics,Plasma cfDNA,Shallow whole-genome sequencing,Arm-level CNV features,Chromosome-arm CNV pattern,Primary final classifier,NR,NR,Arm-level copy-number feature construction,Training/test split performed before final evaluation; feature design may use biological prior knowledge,Regular z-score rule,40,30,0,Random 40/30 train-test split,Internal only,Same-center patient-level split,Test AUC=0.8796; sensitivity=0.917; specificity=0.889; accuracy=0.900,SVM outperformed regular z-score rule,SVM performed best,No,No,Very small test cohort; only five early-stage cases; no external validation,Age/sex matching stated; no subgroup fairness analysis,Regular z-score CNV rule,Internal validation only,Data/code NR,Early-stage sensitivity of 1.00 is based on only five test cases.,Methods pp.1445-1447; Results Tables 2-3 and ROC section
S079,NR,Journal of BUON,2017,Secondary analysis of one public saliva microarray dataset,China,Public ArrayExpress dataset,63 gastric cancer and 31 healthy controls,63,31,94,Healthy controls,Cancer detection,Gastric cancer,Public dataset labels,Molecular omics,Transcriptomics,Saliva,Microarray E-GEOD-64951,"20,541 genes",5 genes,Primary final classifier,Linear,NR,"Differential expression, mutual-information network and gene-panel derivation",Feature discovery appears to use all samples before random 60/40 split,Alternative SVM feature panels,60% of cohort,40% of cohort,0,5-fold CV on training and held-out same-dataset test,Internal only,Same public dataset; split independence at participant level likely but not explicitly audited,Five-gene panel AUC=0.99; sensitivity=0.98; specificity=1.00; MCC=0.95,Five key genes outperformed other feature sets,SVM was not directly compared with a different classifier,No,No,Strong leakage risk from full-dataset feature discovery and network analysis before split,Demographics/fairness NR,No clinical comparator,Retrospective model development,ArrayExpress public; code NR,High performance should be discussed as potentially optimistic.,Methods data preprocessing/network/SVM sections; Results Tables/Figures
