Study_ID,Cancer_or_Task,SVM_Model,Reported_Metric,Reported_Value,Reported_Confidence_Interval,Dataset_or_Cohort,Dataset_Level,Validation_Category,Evidence_Location,Notes
S065,Breast cancer versus controls,SVM BCExoC,AUC,0.82,0.77-0.87,All participants n=259,Pooled apparent,Internal,Results/Figure 4,Pooled estimate.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,Sensitivity,0.835,,All 170 samples,10-fold cross-validation,Internal,Table 3,Feature selection performed on same cohort.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,Specificity,0.906,,All 170 samples,10-fold cross-validation,Internal,Table 3,Feature selection performed on same cohort.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,MCC,0.743,,All 170 samples,10-fold cross-validation,Internal,Table 3,No external validation.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,Sensitivity,0.835,,All 170 samples,LOOCV,Internal,Table 3,Nearly unbiased only conditional on feature-selection process.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,Specificity,0.859,,All 170 samples,LOOCV,Internal,Table 3,No external validation.
S067,Breast cancer versus healthy,SVM with OSAF/SBS,MCC,0.694,,All 170 samples,LOOCV,Internal,Table 3,No external validation.
S068,Oral SCC versus normal mucosa,RBF SVM,Sensitivity,0.95,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Oral SCC versus normal mucosa,RBF SVM,Specificity,0.95,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Oral SCC versus normal mucosa,RBF SVM,Accuracy,0.9524,,Blind calibration spectra,Internal held-out test,Internal,Table 4,19/20 SCC and 21/22 normal correct.
S068,Oral SCC versus leukoplakia,RBF SVM,Sensitivity,0.9048,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Oral SCC versus leukoplakia,RBF SVM,Specificity,0.95,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Oral SCC versus leukoplakia,RBF SVM,Accuracy,0.9318,,Blind calibration spectra,Internal held-out test,Internal,Table 4,19/20 SCC and 22/24 OLK correct.
S068,Leukoplakia versus normal mucosa,RBF SVM,Sensitivity,0.7143,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Leukoplakia versus normal mucosa,RBF SVM,Specificity,0.8333,,Blind calibration spectra,Internal held-out test,Internal,Table 4,Spectrum-level result.
S068,Leukoplakia versus normal mucosa,RBF SVM,Accuracy,0.7391,,Blind calibration spectra,Internal held-out test,Internal,Table 4,20/24 OLK and 14/22 normal correct.
S069,HNSCC versus adjacent normal,SVM,AUC,0.983,,TCGA 500 HNSCC + 44 normal,Same-cohort apparent/CV result,Internal,Results/Figure 4,qRT-PCR cohort confirmed expression only.
S069,HNSCC versus adjacent normal,SVM,Sensitivity,0.962,,TCGA 500 HNSCC + 44 normal,Same-cohort apparent/CV result,Internal,Results/Figure 4,qRT-PCR cohort confirmed expression only.
S069,HNSCC versus adjacent normal,SVM,Specificity,0.955,,TCGA 500 HNSCC + 44 normal,Same-cohort apparent/CV result,Internal,Results/Figure 4,qRT-PCR cohort confirmed expression only.
S070,STAD versus adjacent normal,SVM,AUC,0.983,,TCGA 375 STAD + 32 normal,Same-cohort apparent/CV result,Internal,Results/Figure 3,GSE27342 confirmed expression only.
S070,STAD versus adjacent normal,SVM,Sensitivity,0.971,,TCGA 375 STAD + 32 normal,Same-cohort apparent/CV result,Internal,Results/Figure 3,GSE27342 confirmed expression only.
S070,STAD versus adjacent normal,SVM,Specificity,0.969,,TCGA 375 STAD + 32 normal,Same-cohort apparent/CV result,Internal,Results/Figure 3,GSE27342 confirmed expression only.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,Set 1,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,Set 1,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 1,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,Set 1,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,Set 2,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,Set 2,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 2,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,Set 2,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.87,,Set 3,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.83,,Set 3,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.9,,Set 3,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.89,,Set 3,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.82,,Set 4,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.93,,Set 4,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.71,,Set 4,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.93,,Set 4,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.86,,Set 5,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.83,,Set 5,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.89,,Set 5,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.97,,Set 5,Training-set LOOCV,Internal,Table 2,Internal LOOCV.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,Set 6,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,Set 6,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 6,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,Set 6,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.92,,Set 7,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.9,,Set 7,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.93,,Set 7,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.94,,Set 7,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,Set 8,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,Set 8,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 8,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,Set 8,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.95,,Set 9,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.91,,Set 9,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 9,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,Set 9,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.96,,Set 10,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.93,,Set 10,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,Set 10,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.94,,Set 10,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.73,,Set 11,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.75,,Set 11,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.71,,Set 11,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.8,,Set 11,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.79,,V1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.76,,V1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.83,,V1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.83,,V1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.98,,V2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.97,,V2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,V2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,V2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.94,,V3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,V3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.89,,V3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.98,,V3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.95,,V4,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,V4,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.91,,V4,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.99,,V4,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.83,,V5,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.84,,V5,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.82,,V5,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.89,,V5,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.82,,PV1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.94,,PV1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.72,,PV1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.93,,PV1,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.74,,PV2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.74,,PV2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.75,,PV2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.82,,PV2,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.83,,PV3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.78,,PV3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.89,,PV3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.95,,PV3,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,PV4-IPMA,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,PV4-IPMA,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,PV4-IPMA,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,PV4-IPMA,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,0.84,,PV4-IPMC,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,0.83,,PV4-IPMC,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,0.86,,PV4-IPMC,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,0.81,,PV4-IPMC,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Accuracy,1,,PV4-IPMN,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Sensitivity,1,,PV4-IPMN,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,Specificity,1,,PV4-IPMN,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S071,PDAC/precursor lesion classification,Polynomial-kernel SVM,AUC,1,,PV4-IPMN,Independent-dataset LOOCV/evaluation,External,Table 2,Classifier appears evaluated/refit within each dataset; not a clearly locked transfer model.
S075,Cholangiocarcinoma versus non-CCA,Linear SVM; All-7 panel,AUC,0.961,0.885-1.000,Held-out test set n=18,Internal held-out test,Internal,Results/Table/Figure,Best All-7 model.
S077,Lung cancer versus benign lesion,Gene-based SVM,AUC,0.902,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Gene-based SVM,Sensitivity,0.871,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Gene-based SVM,Specificity,0.756,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Gene-based SVM,PPV,0.859,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Gene-based SVM,NPV,0.775,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Advanced SVM: gene + CT/clinical,AUC,0.903,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Advanced SVM: gene + CT/clinical,Sensitivity,0.9,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Advanced SVM: gene + CT/clinical,Specificity,0.732,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Advanced SVM: gene + CT/clinical,PPV,0.851,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S077,Lung cancer versus benign lesion,Advanced SVM: gene + CT/clinical,NPV,0.811,,Single-center cohort n=283,10-fold cross-validation,Internal,Results/Table 2,No independent external validation.
S078,CRC versus healthy,Arm-level CNV SVM,AUC,0.8796,,Held-out test n=30,Internal held-out test,Internal,Results/Table 3,Test included 12 CRC and 18 healthy controls.
S078,CRC versus healthy,Arm-level CNV SVM,Sensitivity,0.917,,Held-out test n=30,Internal held-out test,Internal,Results/Table 3,Test included 12 CRC and 18 healthy controls.
S078,CRC versus healthy,Arm-level CNV SVM,Specificity,0.889,,Held-out test n=30,Internal held-out test,Internal,Results/Table 3,Test included 12 CRC and 18 healthy controls.
S078,CRC versus healthy,Arm-level CNV SVM,Accuracy,0.9,,Held-out test n=30,Internal held-out test,Internal,Results/Table 3,Test included 12 CRC and 18 healthy controls.
S078,Early-stage CRC versus healthy,Arm-level CNV SVM,Sensitivity,1,,Held-out test early-stage subset n=5,Internal held-out test,Internal,Results,Only five early-stage cases.
S079,Gastric cancer versus healthy,Linear SVM,AUC,0.72,,Differentially expressed genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Sensitivity,0.85,,Differentially expressed genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Specificity,0.68,,Differentially expressed genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,MCC,0.67,,Differentially expressed genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,AUC,0.68,,Disease pathway genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Sensitivity,0.77,,Disease pathway genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Specificity,0.68,,Disease pathway genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,MCC,0.65,,Disease pathway genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,AUC,0.95,,Hub genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Sensitivity,1,,Hub genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Specificity,0.87,,Hub genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,MCC,0.85,,Hub genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,AUC,0.88,,Informative genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Sensitivity,0.92,,Informative genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Specificity,0.98,,Informative genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,MCC,0.88,,Informative genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,AUC,0.99,,Five key genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Sensitivity,0.98,,Five key genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,Specificity,1,,Five key genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S079,Gastric cancer versus healthy,Linear SVM,MCC,0.95,,Five key genes,Internal held-out test,Internal,Results/Table,Feature discovery likely used the full dataset before split.
S080,Four-class breast cancer stage classification,PSO-SVM; PLS-48,Average accuracy,0.9364,,Oversampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S080,Four-class breast cancer stage classification,GA-SVM; PLS-54,Average accuracy,0.9227,,Oversampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S080,Four-class breast cancer stage classification,GS-SVM; PLS-42,Average accuracy,0.9545,,Oversampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S080,Four-class breast cancer stage classification,PSO-SVM; PLS-49,Average accuracy,0.9744,,Undersampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S080,Four-class breast cancer stage classification,GA-SVM; PLS-43,Average accuracy,1,,Undersampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S080,Four-class breast cancer stage classification,GS-SVM; PLS-37,Average accuracy,0.9767,,Undersampling,Repeated internal train-test/CV,Internal,Results/Table,"Selected after extensive resampling, PLS-component and optimizer search."
S083,CRC versus colorectal adenoma,Linear SVM; seven-peak panel,Accuracy,0.867,,Repeated blind test n=30 per repetition,Repeated internal 3-fold CV,Internal,Results/Table 4,"CRC-versus-healthy classifier was ANN, not SVM."
S083,CRC versus colorectal adenoma,Linear SVM; seven-peak panel,Sensitivity,0.89,0.86-0.92,Repeated blind test n=30 per repetition,Repeated internal 3-fold CV,Internal,Results/Table 4,"CRC-versus-healthy classifier was ANN, not SVM."
